,feature,2.5%,97.5%,coef
0,const,-2.6018224138690282,-2.460394407258091,-2.5311084105635597
1,agent_len,0.8613647767455388,0.9301880927480186,0.8957764347467787
2,agent_unigram_logprob,-0.11901285561221961,-0.037629578973251664,-0.07832121729273564
3,agent_is_pronoun,-3.406384901921339,-2.847619366548496,-3.1270021342349175
4,agent_is_plural,0.1603198593395324,0.3095657264277362,0.23494279288363432
5,agent_is_animate,0.0970222440451516,0.2244434631809777,0.16073285361306464
6,agent_is_definite,-0.19823259525591125,-0.06887086320209844,-0.13355172922900485
7,patient_len,-1.0626489405407804,-0.9190575497034019,-0.9908532451220912
8,patient_unigram_logprob,0.11192347192825845,0.18498896760438482,0.14845621976632165
9,patient_is_pronoun,0.9080221301708711,1.1922798331817164,1.0501509816762937
10,patient_is_plural,-0.2898575206835742,-0.12608933015376939,-0.20797342541867178
11,patient_is_animate,0.33094754306536,0.5176619790990873,0.42430476108222365
12,patient_is_definite,0.5275664150882692,0.6613776386384046,0.5944720268633369
13,uid_pwd,0.8805074380194758,1.0315463756270826,0.9560269068232792
