,feature,2.5%,97.5%,coef
0,const,-2.610935443904262,-2.43005652083415,-2.520495982369206
1,agent_len,0.5094397715286315,0.5863456827576611,0.5478927271431463
2,agent_unigram_logprob,0.01903994606918153,0.12322227156964652,0.07113110881941402
3,agent_is_pronoun,-3.683316311205305,-2.997566683064877,-3.340441497135091
4,agent_is_plural,0.20449432994057098,0.39284302259313014,0.29866867626685056
5,agent_is_animate,0.056512541339621955,0.2197188183035978,0.13811567982160988
6,agent_is_definite,-0.010763859809616402,0.15157708570068423,0.07040661294553391
7,patient_len,-0.5319280781283724,-0.3757746994980561,-0.45385138881321424
8,patient_unigram_logprob,0.13834714794752181,0.2312467129711954,0.1847969304593586
9,patient_is_pronoun,0.8072158838682676,1.1714179866324854,0.9893169352503766
10,patient_is_plural,-0.4327297994001117,-0.22603908563390318,-0.32938444251700744
11,patient_is_animate,0.2149885515347113,0.4510113694073419,0.3329999604710266
12,patient_is_definite,0.32168713649367503,0.4929074644948577,0.4072973004942664
13,surp_slor,4.8129602618068,5.083418574459235,4.948189418133017
