,feature,2.5%,97.5%,coef
0,const,-2.6195939385746443,-2.4368305930063126,-2.5282122657904784
1,agent_len,0.501942242001402,0.5789236898465794,0.5404329659239907
2,agent_unigram_logprob,0.03986785268256662,0.14510180050972968,0.09248482659614815
3,agent_is_pronoun,-3.7078728379618595,-3.0255390936440407,-3.36670596580295
4,agent_is_plural,0.2080450514300421,0.39705745480113414,0.3025512531155881
5,agent_is_animate,0.059176771716431306,0.22315105307416838,0.14116391239529985
6,agent_is_definite,0.023688575283635424,0.19071062581388065,0.10719960054875803
7,patient_len,-0.5137395837585494,-0.3578993477695068,-0.43581946576402814
8,patient_unigram_logprob,0.13044824005873457,0.22407997144099556,0.17726410574986506
9,patient_is_pronoun,0.7979157687921233,1.1648229337801728,0.9813693512861481
10,patient_is_plural,-0.43406801543677437,-0.226295651204157,-0.3301818333204657
11,patient_is_animate,0.20915301371189826,0.4465676888261962,0.3278603512690472
12,patient_is_definite,0.32539146946891156,0.49930871075523137,0.41235009011207147
13,uid_std,0.1448440401191533,0.36425938280714154,0.2545517114631474
14,uid_pwd,-0.8950484049849851,-0.6388461287291246,-0.7669472668570548
15,surp_slor,4.961527363839944,5.253866952465731,5.107697158152837
