,feature,2.5%,97.5%,coef
0,const,-4.1074786276450785,-3.2337685513229375,-3.6706235894840082
1,agent_len,0.4185415288762957,0.6031911873341242,0.51086635810521
2,agent_unigram_logprob,-0.6124860048844429,-0.174302833487069,-0.39339441918575596
3,agent_is_pronoun,-4.311741542806966,-2.2526897892244664,-3.2822156660157162
4,agent_is_plural,0.002951318991197549,0.6922702993381262,0.34761080916466186
5,agent_is_animate,-0.6905952882965066,0.035367912915625466,-0.3276136876904406
6,agent_is_definite,-0.12323889724899312,0.5405083689995942,0.20863473587530051
7,patient_len,-0.5771926692801427,-0.02611041516690671,-0.3016515422235247
8,patient_unigram_logprob,0.06691856497329879,0.5453282078389736,0.30612338640613623
9,patient_is_pronoun,-0.43451877814998147,1.1184493193418745,0.34196527059594656
10,patient_is_plural,-0.48091064432421393,0.27302431944761174,-0.10394316243830107
11,patient_is_animate,-0.10352721517414087,0.9900037408683278,0.44323826284709344
12,patient_is_definite,-0.2706506380718006,0.4943490758839208,0.1118492189060601
13,uid_std,-0.09671989880721651,0.589075065505994,0.24617758334938875
14,uid_pwd,-0.9595060608726953,-0.19517259703549672,-0.577339328954096
15,surp_slor,2.259772669347153,2.9906983375114167,2.625235503429285
