,feature,2.5%,97.5%,coef
0,const,-4.021408864429711,-3.244538808812764,-3.6329738366212374
1,agent_len,0.45660372391895326,0.6282469743110854,0.5424253491150194
2,agent_unigram_logprob,-0.6143167565456421,-0.23010451848890545,-0.4222106375172738
3,agent_is_pronoun,-3.7523616092954946,-1.9607425098259135,-2.856552059560704
4,agent_is_plural,0.061902526249893675,0.6888437482429896,0.3753731372464416
5,agent_is_animate,-0.6164962789140744,0.03530922471442338,-0.2905935270998255
6,agent_is_definite,-0.25868958891573673,0.33443025057248194,0.03787033082837261
7,patient_len,-0.8087933800038662,-0.2867637998128332,-0.5477785899083497
8,patient_unigram_logprob,0.06531598313427123,0.5057134815784414,0.2855147323563563
9,patient_is_pronoun,-0.850144332533988,0.5064630407299172,-0.1718406459020354
10,patient_is_plural,-0.32274640593279397,0.36106954221104653,0.019161568139126273
11,patient_is_animate,0.23818337602776796,1.201703262379854,0.719943319203811
12,patient_is_definite,-0.040170693172263905,0.6540278976006797,0.3069286022142079
13,uid_pwd,0.3712110082084229,0.7327440816123335,0.5519775449103782
